timesteps,train_ep_reward,val_is_mean,val_vs_twap_mean,val_full_exec_frac,val_residual_freq
0,nan,0.6288114377235843,-0.05525146714304631,1.0,0.0025
100000,-2.0124909399999997,1.3445200085474793,0.660457103680849,1.0,0.5725
200000,-0.6064453000000004,3.4334070331269864,2.7493441282603555,1.0,0.875
300000,-7.828811640000001,2.5368170631961,1.85275415832947,1.0,0.7025
400000,-3.12995274,0.700711625532804,0.016648720666173594,1.0,0.04
500000,-0.40763207999999934,0.5537943936256725,-0.1302685112409581,1.0,0.0075
600000,-2.70155119,0.5636133635267556,-0.12044954133987469,1.0,0.0075
700000,-1.6781524099999996,0.6290841159477114,-0.05497878891891911,1.0,0.01
800000,2.09930677,0.667749025112892,-0.01631387975373821,1.0,0.0025
900000,2.0806786299999995,0.70631293798369,0.022250033117059823,1.0,0.0025
1000000,-0.9779031300000005,0.7697027691656767,0.0856398642990462,1.0,0.0025
1100000,0.54206757,0.7822615990558497,0.09819869418921937,1.0,0.005
1200000,-0.49987854999999987,0.8094516564753238,0.12538875160869367,1.0,0.02
1300000,-1.9696985200000003,0.8091798350095059,0.12511693014287523,1.0,0.0175
1400000,2.8227044599999997,0.8104338615467123,0.12637095668008183,1.0,0.005
1500000,-1.8204042900000001,0.671846220990966,-0.012216683875664556,1.0,0.0025
1600000,0.29189828999999995,0.6478717106186977,-0.03619119424793261,1.0,0.0075
1700000,-19.432390279999996,0.09208366748170764,-0.5919792373849228,1.0,0.1
1800000,-93.60958993,5.586437261979142,4.90237435711251,1.0,1.0
1900000,-63.83695892,5.584225246691366,4.900162341824736,1.0,1.0
2000000,-1.0551120900000002,0.6288114377235843,-0.05525146714304631,1.0,0.0025
