time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/explained_variance,train/loss,train/approx_kl,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/clip_fraction
9,223,0.22470566666666666,1,2048,300.0,,,,,,,,,,
12,326,0.06479561538461535,2,4096,300.0,0.0003,-1.5384910106658936,-0.010601252317428589,0.008529573,0.08611628863727674,-1.9398618020117282,-0.00881902581459144,0.2,10,0.05712890625
16,378,-0.760434,3,6144,300.0,0.0003,-0.3366661071777344,-0.03376869857311249,0.010930195,0.060846175660844895,-1.9271709866821767,-0.01694377366511617,0.2,20,0.10390625
18,435,-0.6067325555555555,4,8192,300.0,0.0003,-0.08976757526397705,-0.025584746152162552,0.008552352,0.056795480306027456,-1.9146211862564086,-0.017892751521139873,0.2,30,0.08955078125
21,483,-1.0313323235294118,5,10240,300.0,0.0003,-0.03664588928222656,-0.013201624155044556,0.0069034253,0.05348436551867053,-1.9066259503364562,-0.01654112065443769,0.2,40,0.052783203125
24,505,-0.811003375,6,12288,300.0,0.0003,0.0308305025100708,-0.03642138093709946,0.008097381,0.057147396891377863,-1.9028704393655063,-0.019467219707439653,0.2,50,0.05634765625
26,535,-0.7314718723404255,7,14336,300.0,0.0003,-0.023491621017456055,0.015903756022453308,0.008426553,0.14053173505235464,-1.887447615340352,-0.018224039832421112,0.2,60,0.067138671875
29,556,-0.5926175185185186,8,16384,300.0,0.0003,-0.10178661346435547,-0.006161138415336609,0.006714645,0.046451365313259885,-1.8675395492464304,-0.018812937289476396,0.2,70,0.04931640625
31,580,-0.8536700491803277,9,18432,300.0,0.0003,0.023199856281280518,-0.031407397240400314,0.010824464,0.08950978992506861,-1.8449532561004163,-0.022777217083785217,0.2,80,0.10263671875
34,589,-0.5891869705882354,10,20480,300.0,0.0003,-0.004319906234741211,-0.018911704421043396,0.01008612,0.05372076486237347,-1.8185565620660782,-0.024854334704286885,0.2,90,0.085498046875
37,599,-0.6472064133333335,11,22528,300.0,0.0003,-0.4104806184768677,-0.05302108824253082,0.00971774,0.02712606337154284,-1.7995538145303727,-0.026168991760641802,0.2,100,0.091748046875
39,618,-0.6660026172839507,12,24576,300.0,0.0003,-0.03501439094543457,-0.046033404767513275,0.010009918,0.049965326173696666,-1.7968342289328576,-0.026768688624724746,0.2,110,0.113427734375
41,638,-0.6240742840909091,13,26624,300.0,0.0003,-0.1278156042098999,-0.045477867126464844,0.010603485,0.061231152759864925,-1.7879717916250228,-0.024604868565802462,0.2,120,0.09443359375
43,652,-0.5826074631578948,14,28672,300.0,0.0003,0.012821972370147705,-0.04786442965269089,0.011916778,0.054841506894445044,-1.7774622466415166,-0.025392580778134288,0.2,130,0.116259765625
