time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/clip_range
219,2048,300.0,-1.1207778333333334,1,9,,,,,,,,,,
324,4096,300.0,0.43250600000000006,2,12,0.050634765625,-1.4536399841308594,0.007134717,-0.008229174344160128,-1.9397700477391482,10,0.006831258535385132,0.0003,0.12729420412797482,0.2
379,6144,300.0,0.09385695000000001,3,16,0.05126953125,-0.1331850290298462,0.0070194327,-0.012211299846239854,-1.9288514345884322,20,0.01282786950469017,0.0003,0.11597458068281412,0.2
435,8192,300.0,0.15314851851851852,4,18,0.074658203125,-0.0278090238571167,0.009103058,-0.01805559511849424,-1.9148560732603073,30,-0.008988697081804276,0.0003,0.09211432378506287,0.2
483,10240,300.0,-0.039044088235294094,5,21,0.077734375,0.055073559284210205,0.008506613,-0.01837722328491509,-1.9113612096756696,40,-0.04156913608312607,0.0003,0.0511517480830662,0.2
506,12288,300.0,-0.07031032499999998,6,24,0.08212890625,0.24548035860061646,0.009284131,-0.020754957731696777,-1.8914713848382234,50,-0.04593421518802643,0.0003,0.05831149276928045,0.2
534,14336,300.0,-0.19250463829787234,7,26,0.120947265625,0.3345739245414734,0.010115828,-0.022181672196893487,-1.868282788991928,60,-0.026699624955654144,0.0003,0.05959936935687438,0.2
554,16384,300.0,-0.31034603703703706,8,29,0.1146484375,0.37793993949890137,0.01021709,-0.025466997384501155,-1.8607086561620236,70,-0.005222402513027191,0.0003,0.09037938605761156,0.2
579,18432,300.0,-0.2772430327868852,9,31,0.093212890625,0.6434214115142822,0.0087837735,-0.020349791206535885,-1.8530976600944995,80,-0.019660163670778275,0.0003,0.03214631422888488,0.2
586,20480,300.0,-0.19051077941176472,10,34,0.08857421875,0.5819016695022583,0.008420363,-0.021786165476078166,-1.8412132371217012,90,-0.019947238266468048,0.0003,0.06082578029017895,0.2
596,22528,300.0,-0.055509173333333335,11,37,0.0759765625,0.7294049263000488,0.008193878,-0.021197621378814802,-1.831026428937912,100,-0.042809583246707916,0.0003,0.028858040523482488,0.2
615,24576,300.0,-0.1455284444444445,12,39,0.114990234375,0.6546752452850342,0.010205517,-0.02551506443269318,-1.822034139931202,110,-0.04066148027777672,0.0003,0.04014050466939807,0.2
635,26624,300.0,-0.20637475,13,41,0.121044921875,0.4752071499824524,0.011909795,-0.02700263274309691,-1.8174299746751785,120,0.005214247852563858,0.0003,0.08956589924637229,0.2
644,28672,300.0,-0.2563336,14,44,0.10966796875,0.6301124095916748,0.010904929,-0.026343976566568016,-1.8116748578846456,130,-0.05692172795534134,0.0003,0.03156080403714441,0.2
659,30720,300.0,-0.18607913,15,46,0.11416015625,0.6168292760848999,0.011091754,-0.02601505234197248,-1.7856572143733502,140,-0.025293584913015366,0.0003,0.037547821400221434,0.2
672,32768,300.0,-0.12522852,16,48,0.124755859375,0.4046156406402588,0.011629449,-0.025475158264453058,-1.7662268489599229,150,-0.0290275476872921,0.0003,0.04803120516007766,0.2
681,34816,300.0,-0.12167900999999995,17,51,0.133447265625,0.1505286693572998,0.011408032,-0.027556296650436705,-1.7560002297163009,160,-0.028454286977648735,0.0003,0.07280795546248556,0.2
689,36864,300.0,-0.13129170999999998,18,53,0.1248046875,0.35681599378585815,0.011800215,-0.030120937759056686,-1.7447556529194117,170,-0.049212388694286346,0.0003,0.033021153503796086,0.2
699,38912,300.0,-0.07573107000000001,19,55,0.118994140625,-0.04593479633331299,0.011514426,-0.026479094167007132,-1.7539617016911506,180,-0.03276897221803665,0.0003,0.07464046420063823,0.2
708,40960,300.0,-0.04660729000000004,20,57,0.13173828125,-0.047539472579956055,0.012794212,-0.02985944326792378,-1.749856063723564,190,-0.059296801686286926,0.0003,0.05047063418314792,0.2
716,43008,300.0,-0.11955788,21,59,0.116162109375,-0.17030096054077148,0.010056054,-0.026780528438393958,-1.7250247798860072,200,-0.06460074335336685,0.0003,0.02965541600715369,0.2
724,45056,300.0,-0.03615187000000003,22,62,0.151220703125,0.0675281286239624,0.012518294,-0.02895379993133247,-1.7459627535194158,210,-0.04802205413579941,0.0003,0.04130224292748608,0.2
