time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates
4,300.0,1,2048,449,-1.3700578333333333,,,,,,,,,,
6,300.0,2,4096,629,-0.10659861538461558,0.0765625,-1.9382162153720857,0.008274806,-0.010998210632533301,0.2,0.11074058711528778,0.0003,0.3242518743965775,-0.5912344455718994,10
8,300.0,3,6144,726,0.60940255,0.067431640625,-1.923539799079299,0.009406535,-0.014862279631779529,0.2,0.21599888801574707,0.0003,0.526405499689281,-0.08430039882659912,20
10,300.0,4,8192,786,1.8096696296296297,0.0720703125,-1.9060985997319222,0.009292288,-0.01882271915965248,0.2,0.04546786844730377,0.0003,0.2484689569566399,-0.06430292129516602,30
12,300.0,5,10240,807,0.14394155882352921,0.08408203125,-1.8988490704447032,0.008977622,-0.01819477319077123,0.2,0.11058501899242401,0.0003,0.435831494955346,-0.019246935844421387,40
14,300.0,6,12288,845,-0.10690327500000016,0.06025390625,-1.8907352082431317,0.008302912,-0.01625814000435639,0.2,0.19890469312667847,0.0003,0.4906371152959764,-0.007121086120605469,50
16,300.0,7,14336,861,-1.1528893191489362,0.07822265625,-1.8780255414545537,0.009289676,-0.01791572068177629,0.2,0.182289719581604,0.0003,0.4716565027832985,0.00632399320602417,60
18,300.0,8,16384,878,-0.7462844074074079,0.0724609375,-1.8577120799571276,0.007953165,-0.018455167923821136,0.2,0.11918395012617111,0.0003,0.3199386006686836,0.023653507232666016,70
20,300.0,9,18432,891,-0.7693056393442624,0.07236328125,-1.8450110204517842,0.0083254855,-0.02148838061839342,0.2,0.1708151400089264,0.0003,0.4719741352833807,-0.06600344181060791,80
22,300.0,10,20480,899,-1.1442864117647058,0.09580078125,-1.8250034734606744,0.008915777,-0.025648767220263834,0.2,0.0635320320725441,0.0003,0.2511988431215286,-0.031111836433410645,90
24,300.0,11,22528,905,-1.69070516,0.102978515625,-1.8076296903192997,0.009579579,-0.02522043410281185,0.2,0.19789725542068481,0.0003,0.4575950943864882,-0.008388638496398926,100
27,300.0,12,24576,907,-1.3296596419753086,0.10087890625,-1.8029824379831552,0.009453472,-0.027687444270122798,0.2,0.4820486903190613,0.0003,0.963686419930309,0.027932465076446533,110
29,300.0,13,26624,917,-1.5149927840909092,0.10390625,-1.7912299893796444,0.01027349,-0.024969958135625348,0.2,0.27303966879844666,0.0003,0.6138328761793673,-0.04553520679473877,120
30,300.0,14,28672,925,-1.324584863157895,0.150390625,-1.766181980073452,0.012432606,-0.027086709336435887,0.2,0.08056081831455231,0.0003,0.3851788838859648,-0.0867462158203125,130
33,300.0,15,30720,928,-1.09583098,0.105322265625,-1.7719283536076547,0.010928364,-0.02551971806678921,0.2,0.23290713131427765,0.0003,0.5241217965260148,-0.006103634834289551,140
35,300.0,16,32768,935,-0.8547902500000001,0.123876953125,-1.770848274230957,0.011193166,-0.030271726759383454,0.2,0.06601112335920334,0.0003,0.3511470740661025,-0.043572306632995605,150
36,300.0,17,34816,940,-1.60017435,0.1287109375,-1.7441150430589913,0.010901958,-0.027856392340618187,0.2,0.16636347770690918,0.0003,0.44488951908424496,-0.08501577377319336,160
38,300.0,18,36864,945,-1.4451178100000002,0.127392578125,-1.7382351350039245,0.012174494,-0.028864648657327054,0.2,0.04275728017091751,0.0003,0.3094681433867663,-0.21440815925598145,170
40,300.0,19,38912,952,-1.2426245200000001,0.13623046875,-1.7368551909923553,0.011372027,-0.028954732195416,0.2,0.0917046070098877,0.0003,0.3112214009044692,-0.10331249237060547,180
43,300.0,20,40960,950,-0.9270066,0.15322265625,-1.7296467773616313,0.012767425,-0.029949387651868165,0.2,0.06909165531396866,0.0003,0.28693883595988157,0.009396910667419434,190
45,300.0,21,43008,952,-0.6804914299999999,0.16044921875,-1.6968307480216027,0.012824372,-0.03198218232428189,0.2,0.1165168359875679,0.0003,0.4295347503386438,0.020761549472808838,200
47,300.0,22,45056,955,-0.6855370900000001,0.152734375,-1.6831715885549783,0.0135606835,-0.03095995900221169,0.2,0.03487373888492584,0.0003,0.28119132672436536,0.07479298114776611,210
49,300.0,23,47104,959,-1.39106112,0.1373046875,-1.6634473837912083,0.0126221655,-0.02946043907722924,0.2,0.028824716806411743,0.0003,0.2308008901309222,0.020052731037139893,220
51,300.0,24,49152,961,-1.24173045,0.14111328125,-1.6488758075982333,0.013114188,-0.030243839941977057,0.2,0.052659645676612854,0.0003,0.3335780958645046,0.014209628105163574,230
53,300.0,25,51200,962,-1.30890887,0.154052734375,-1.652748679369688,0.013791916,-0.032666774195968175,0.2,0.029997795820236206,0.0003,0.19837076044641436,-0.0033997297286987305,240
55,300.0,26,53248,963,-0.5924152299999997,0.145654296875,-1.6287016898393631,0.012966835,-0.032417886605253445,0.2,0.19270937144756317,0.0003,0.5878315674141049,0.05639803409576416,250
57,300.0,27,55296,964,-0.8769134399999997,0.1357421875,-1.6147270660847426,0.012914031,-0.029834138111618815,0.2,0.040539100766181946,0.0003,0.2598756737541407,-0.2616398334503174,260
59,300.0,28,57344,967,-1.15888887,0.150146484375,-1.5992618456482888,0.014090527,-0.03167789604194695,0.2,0.050509028136730194,0.0003,0.20712777657900006,-0.07525551319122314,270
61,300.0,29,59392,970,-0.83362139,0.134228515625,-1.5834354143589735,0.014116945,-0.031193217607506086,0.2,0.11156854778528214,0.0003,0.29488929440267386,-0.03581678867340088,280
63,300.0,30,61440,971,-0.6815322000000001,0.1474609375,-1.5771437253803016,0.013572414,-0.03374066455435241,0.2,0.2068159580230713,0.0003,0.44215568490326407,0.01672804355621338,290
65,300.0,31,63488,974,-0.8328106400000002,0.145068359375,-1.5735521692782641,0.012228923,-0.032011537175276314,0.2,0.020482879132032394,0.0003,0.19715434787794947,-0.00031888484954833984,300
67,300.0,32,65536,976,-0.20229249000000007,0.15322265625,-1.5586388096213342,0.012983197,-0.030704564496409147,0.2,0.163158118724823,0.0003,0.5238018001895398,0.15176630020141602,310
69,300.0,33,67584,979,-0.6941751899999999,0.1541015625,-1.536023325845599,0.015500553,-0.03206345087091904,0.2,0.21655291318893433,0.0003,0.500387430563569,0.278978168964386,320
