time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/clip_fraction,train/policy_gradient_loss
433,2048,0.08642016666666678,1,4,300.0,,,,,,,,,,
599,4096,-0.3135210000000001,2,6,300.0,0.008405872,0.513438536785543,0.2,-0.6560637950897217,-1.937952771037817,0.0003,10,0.1844492107629776,0.0630859375,-0.012534065611544066
692,6144,-0.7376965500000002,3,8,300.0,0.0071827834,0.1563500023446977,0.2,-0.13267791271209717,-1.92900321893394,0.0003,20,0.02517428994178772,0.064697265625,-0.0165412405403913
751,8192,0.5846911481481477,4,10,300.0,0.0075558037,0.6878818421624601,0.2,-0.005804777145385742,-1.928571442142129,0.0003,30,0.25478944182395935,0.04404296875,-0.012528672415646725
786,10240,0.332425852941176,5,13,300.0,0.007835124,0.5975734307430685,0.2,-0.03282368183135986,-1.9186114981770515,0.0003,40,0.3454977869987488,0.05703125,-0.01504511789244134
812,12288,0.3682962249999996,6,15,300.0,0.008791504,0.16458166108932346,0.2,-0.20445466041564941,-1.9013321071863174,0.0003,50,0.051682211458683014,0.085693359375,-0.020565661613363772
824,14336,0.41447355319148893,7,17,300.0,0.008816266,0.5675869737751782,0.2,0.003177642822265625,-1.8827596511691809,0.0003,60,0.1112162321805954,0.077734375,-0.020303824612346942
847,16384,0.47338420370370354,8,19,300.0,0.009767378,0.40218426352366804,0.2,-0.07367110252380371,-1.8808039456605912,0.0003,70,0.10705266147851944,0.069921875,-0.02038498408073792
864,18432,0.2496247704918031,9,21,300.0,0.0108189825,0.0800431084120646,0.2,-0.1608283519744873,-1.859016354009509,0.0003,80,-0.006045490503311157,0.096240234375,-0.023780547711066902
875,20480,0.5325117058823526,10,23,300.0,0.011307445,0.23937474396079778,0.2,-0.021904468536376953,-1.8445434108376504,0.0003,90,0.07964999228715897,0.1265625,-0.02710245838970877
889,22528,0.005757706666666606,11,25,300.0,0.011101684,0.12343837617663667,0.2,-0.014783024787902832,-1.8117728237062694,0.0003,100,-0.0229530967772007,0.1212890625,-0.028064274048665537
901,24576,0.10463301234567907,12,27,300.0,0.0108142765,0.21244200023356824,0.2,-0.026485681533813477,-1.7855220772325993,0.0003,110,0.04184610769152641,0.125830078125,-0.026796008870587685
908,26624,-0.07175261363636366,13,29,300.0,0.010454038,0.6706095484085381,0.2,0.0064563751220703125,-1.7747226405888796,0.0003,120,0.13232876360416412,0.083935546875,-0.021420478353684304
916,28672,-0.36116063157894734,14,31,300.0,0.010300596,0.39830978736281397,0.2,-0.02965521812438965,-1.7588855154812335,0.0003,130,0.0885392278432846,0.09912109375,-0.023699907743139192
915,30720,-0.17843770000000006,15,33,300.0,0.010535269,0.3199998377356678,0.2,-0.05592823028564453,-1.7304007679224014,0.0003,140,0.08281967788934708,0.103466796875,-0.023660064801515546
920,32768,-0.056713629999999904,16,35,300.0,0.009653448,0.3235783024691045,0.2,-0.016202569007873535,-1.7078996356576681,0.0003,150,0.1094016432762146,0.0970703125,-0.022345177046372556
924,34816,0.10846063000000009,17,37,300.0,0.011060669,0.48109320853836834,0.2,-0.006184697151184082,-1.7082622922956943,0.0003,160,0.18917077779769897,0.118359375,-0.024636857028235683
930,36864,0.7257503,18,39,300.0,0.0119482055,0.17408476213458926,0.2,0.052825987339019775,-1.7072041373699904,0.0003,170,0.03321695327758789,0.1205078125,-0.028218335495330392
934,38912,0.51279058,19,41,300.0,0.010711521,0.2693748061545193,0.2,0.1056014895439148,-1.7049956247210503,0.0003,180,0.030016817152500153,0.125390625,-0.027141005842713638
934,40960,1.16290638,20,43,300.0,0.013621023,0.16836669647600502,0.2,-0.04111957550048828,-1.6968846764415502,0.0003,190,0.03137703612446785,0.134326171875,-0.030520069220801815
935,43008,1.5182865500000002,21,45,300.0,0.012288949,0.19530268136877565,0.2,0.0308077335357666,-1.6642908658832312,0.0003,200,0.03809277340769768,0.130810546875,-0.02876996024569962
939,45056,1.67091723,22,47,300.0,0.011579016,0.6209420063532889,0.2,0.06515049934387207,-1.6885255448520184,0.0003,210,0.36061200499534607,0.11279296875,-0.026815609590266833
944,47104,1.9134994900000002,23,49,300.0,0.010089594,0.4943503713235259,0.2,0.008903145790100098,-1.6942400570958853,0.0003,220,0.1674773246049881,0.113232421875,-0.027473593199101743
948,49152,1.7756184800000003,24,51,300.0,0.011501109,0.5385219248011708,0.2,-0.0756913423538208,-1.6812664359807967,0.0003,230,0.11320706456899643,0.12041015625,-0.03000580113584874
948,51200,2.00913216,25,53,300.0,0.012406738,0.5005686154589057,0.2,0.08001953363418579,-1.6780585449188947,0.0003,240,0.184095099568367,0.114892578125,-0.027536179329035803
951,53248,2.3315992800000003,26,55,300.0,0.012649685,0.26972779068164526,0.2,0.29101449251174927,-1.6831130653619766,0.0003,250,0.04408273845911026,0.1435546875,-0.029640024398395325
955,55296,2.0140217700000003,27,57,300.0,0.011450263,0.15968645501416176,0.2,0.5202088952064514,-1.655785884335637,0.0003,260,0.012862913310527802,0.133544921875,-0.03279857677989639
958,57344,1.58082425,28,59,300.0,0.013523443,0.39922256134450435,0.2,0.4110769033432007,-1.6306025590747595,0.0003,270,0.10742919147014618,0.1423828125,-0.03190064361842815
962,59392,1.75112091,29,61,300.0,0.013054314,0.26565216048620643,0.2,0.5615701079368591,-1.6299200531095266,0.0003,280,0.053931623697280884,0.12646484375,-0.030889692023629324
962,61440,1.8799459299999999,30,63,300.0,0.014062194,0.3804010049905628,0.2,0.5720714330673218,-1.5852422676980495,0.0003,290,0.12019435316324234,0.158544921875,-0.03246616485048435
964,63488,1.9198315099999999,31,65,300.0,0.011164114,0.25524306371808053,0.2,0.6372183561325073,-1.5881487198174,0.0003,300,0.07098240405321121,0.1302734375,-0.030073809798341244
965,65536,1.21897056,32,67,300.0,0.015059225,0.12552245121914893,0.2,0.6518241167068481,-1.5491905793547631,0.0003,310,0.007460404187440872,0.16640625,-0.03357561326993164
