rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/exploration_rate,train/loss,train/learning_rate,train/n_updates
300.0,327,3,1200,4,-1.2192705,0.9977584905660376,,,
300.0,592,4,2400,8,0.2420197500000001,0.9955169811320755,,,
300.0,816,4,3600,12,0.91632325,0.9932754716981131,,,
300.0,995,4,4800,16,1.0005076249999998,0.9910339622641511,,,
300.0,1156,5,6000,20,0.8673799999999998,0.9887924528301887,,,
300.0,1297,5,7200,24,0.6383519583333334,0.9865509433962263,,,
300.0,1419,5,8400,28,0.6421809642857143,0.9843094339622642,,,
300.0,1514,6,9600,32,0.49488309374999995,0.9820679245283018,,,
300.0,1610,6,10800,36,0.4439133055555555,0.9798264150943398,,,
300.0,1696,7,12000,40,0.9283974749999999,0.9775849056603774,,,
300.0,1759,7,13200,44,0.9400544772727272,0.9753433962264149,,,
300.0,1827,7,14400,48,0.7273215208333333,0.9731018867924529,,,
300.0,1891,8,15600,52,0.7134082115384616,0.9708603773584905,,,
300.0,1947,8,16800,56,0.8561129107142857,0.9686188679245284,,,
300.0,1999,9,18000,60,0.9095781166666668,0.966377358490566,,,
300.0,2049,9,19200,64,0.901505171875,0.9641358490566035,,,
300.0,2097,9,20400,68,0.804054911764706,0.9618943396226416,,,
300.0,2141,10,21600,72,0.6709726111111111,0.9596528301886791,,,
300.0,2180,10,22800,76,0.5319486578947368,0.9574113207547171,,,
300.0,2217,10,24000,80,0.5085836625,0.9551698113207547,,,
300.0,2252,11,25200,84,0.49450797619047615,0.9529283018867927,,,
300.0,2284,11,26400,88,0.5281754545454546,0.9506867924528303,,,
300.0,2315,11,27600,92,0.6171489782608696,0.9484452830188678,,,
300.0,2341,12,28800,96,0.5067264270833334,0.9462037735849058,,,
300.0,2365,12,30000,100,0.45143059,0.9439622641509433,,,
300.0,2391,13,31200,104,0.48672009000000005,0.9417207547169814,,,
300.0,2416,13,32400,108,0.4248148300000002,0.9394792452830188,,,
300.0,2439,13,33600,112,0.4113208400000001,0.9372377358490565,,,
300.0,2462,14,34800,116,0.24783716000000008,0.9349962264150945,,,
300.0,2485,14,36000,120,0.23044240000000013,0.932754716981132,,,
300.0,2495,14,37200,124,0.27174486000000014,0.93051320754717,,,
300.0,2514,15,38400,128,0.32478929,0.9282716981132075,,,
300.0,2533,15,39600,132,0.31940238,0.9260301886792451,,,
300.0,2537,16,40800,136,0.42021336000000004,0.9237886792452831,0.010891644284129143,0.0001,7
300.0,2542,16,42000,140,0.24990567000000005,0.9215471698113207,0.010907674208283424,0.0001,19
300.0,2548,16,43200,144,0.24322614999999995,0.9193056603773587,0.008836107328534126,0.0001,31
300.0,2554,17,44400,148,0.45601665,0.9170641509433962,0.008295870386064053,0.0001,43
300.0,2550,17,45600,152,0.5352905800000001,0.9148226415094338,0.007786234375089407,0.0001,55
300.0,2551,18,46800,156,0.5210752700000001,0.9125811320754718,0.007177813909947872,0.0001,67
300.0,2557,18,48000,160,0.46653382,0.9103396226415094,0.006360772531479597,0.0001,79
300.0,2563,19,49200,164,0.46473903,0.9080981132075473,0.005849188659340143,0.0001,91
300.0,2571,19,50400,168,0.41153173000000004,0.9058566037735849,0.004687749780714512,0.0001,103
300.0,2579,20,51600,172,0.40164663000000006,0.9036150943396225,0.004300434608012438,0.0001,115
300.0,2585,20,52800,176,0.52280603,0.9013735849056604,0.0033154101110994816,0.0001,127
300.0,2592,20,54000,180,0.48556449999999995,0.899132075471698,0.0031848500948399305,0.0001,139
300.0,2595,21,55200,184,0.46194927000000013,0.896890566037736,0.0034709996543824673,0.0001,151
300.0,2601,21,56400,188,0.46363203999999997,0.8946490566037736,0.0031395461410284042,0.0001,163
300.0,2603,22,57600,192,0.34955336000000004,0.8924075471698112,0.002296308521181345,0.0001,175
300.0,2609,22,58800,196,0.41799918,0.8901660377358491,0.001563137280754745,0.0001,187
300.0,2612,22,60000,200,0.4255777000000001,0.8879245283018867,0.001494065159931779,0.0001,199
300.0,2618,23,61200,204,0.36235154,0.8856830188679247,0.0014426185516640544,0.0001,211
300.0,2622,23,62400,208,0.41018063999999993,0.8834415094339623,0.0011608985951170325,0.0001,223
300.0,2628,24,63600,212,0.32814004,0.8811999999999998,0.0011572518851608038,0.0001,235
300.0,2626,24,64800,216,0.4371960700000001,0.8789584905660378,0.001270510721951723,0.0001,247
300.0,2621,25,66000,220,0.45033985000000015,0.8767169811320754,0.0014358117477968335,0.0001,259
300.0,2625,25,67200,224,0.45993739000000006,0.8744754716981133,0.0017145033925771713,0.0001,271
300.0,2629,26,68400,228,0.3737652099999999,0.872233962264151,0.0018587582744657993,0.0001,283
300.0,2631,26,69600,232,0.3149691099999999,0.8699924528301889,0.0017416407354176044,0.0001,295
300.0,2635,26,70800,236,0.09965228999999998,0.8677509433962265,0.001938104396685958,0.0001,307
300.0,2634,27,72000,240,0.12363071999999997,0.865509433962264,0.0022447293158620596,0.0001,319
300.0,2637,27,73200,244,0.07851765,0.863267924528302,0.002067976864054799,0.0001,331
300.0,2639,28,74400,248,-0.01717544000000003,0.8610264150943396,0.00229034130461514,0.0001,343
300.0,2643,28,75600,252,-0.14172531000000005,0.8587849056603771,0.0023314873687922955,0.0001,355
300.0,2647,29,76800,256,-0.3590602,0.8565433962264152,0.00231699226424098,0.0001,367
300.0,2648,29,78000,260,-0.31967286,0.8543018867924528,0.002158325631171465,0.0001,379
300.0,2650,29,79200,264,-0.3040804100000001,0.8520603773584907,0.002591055817902088,0.0001,391
300.0,2654,30,80400,268,-0.11935760000000002,0.8498188679245282,0.0023972834460437298,0.0001,403
300.0,2657,30,81600,272,0.00731355999999999,0.8475773584905663,0.002737689297646284,0.0001,415
300.0,2660,31,82800,276,0.023541250000000017,0.8453358490566039,0.002803303301334381,0.0001,427
300.0,2661,31,84000,280,0.12618089999999998,0.8430943396226414,0.002629075665026903,0.0001,439
300.0,2664,31,85200,284,0.25287233,0.8408528301886794,0.002490137703716755,0.0001,451
300.0,2667,32,86400,288,0.19140764000000002,0.8386113207547169,0.003337717615067959,0.0001,463
300.0,2669,32,87600,292,0.18560125999999996,0.8363698113207549,0.002597392536699772,0.0001,475
300.0,2671,33,88800,296,0.07642330999999997,0.8341283018867924,0.003276949282735586,0.0001,487
300.0,2673,33,90000,300,0.06706336999999998,0.83188679245283,0.002798600122332573,0.0001,499
300.0,2675,34,91200,304,0.22493490000000002,0.8296452830188681,0.003503393614664674,0.0001,511
300.0,2677,34,92400,308,0.11471720999999999,0.8274037735849056,0.0035621682181954384,0.0001,523
300.0,2677,34,93600,312,0.09963655999999993,0.8251622641509436,0.0026381961070001125,0.0001,535
300.0,2679,35,94800,316,0.07851276999999993,0.8229207547169811,0.0029169421177357435,0.0001,547
300.0,2679,35,96000,320,0.20426778999999995,0.8206792452830187,0.0029146119486540556,0.0001,559
300.0,2678,36,97200,324,0.18454915999999996,0.8184377358490567,0.002508965553715825,0.0001,571
300.0,2680,36,98400,328,0.2008999,0.8161962264150943,0.004743338096886873,0.0001,583
300.0,2681,37,99600,332,0.31974284999999997,0.8139547169811323,0.00280317896977067,0.0001,595
300.0,1272,79,100800,336,0.47115324999999997,0.8117132075471698,0.002414516406133771,0.0001,607
300.0,1281,79,102000,340,0.37577305000000005,0.8094716981132074,0.0029118345119059086,0.0001,619
300.0,1289,80,103200,344,0.36058217000000004,0.8072301886792453,0.0035988320596516132,0.0001,631
300.0,1297,80,104400,348,0.23905937,0.804988679245283,0.0034884095657616854,0.0001,643
300.0,1305,80,105600,352,0.25448685,0.8027471698113209,0.003018504474312067,0.0001,655
300.0,1312,81,106800,356,0.3138380100000001,0.8005056603773585,0.0027162344194948673,0.0001,667
300.0,1320,81,108000,360,0.29949222000000003,0.7982641509433961,0.003157953266054392,0.0001,679
300.0,1328,82,109200,364,0.24085613999999997,0.796022641509434,0.002503595082089305,0.0001,691
300.0,1335,82,110400,368,0.09764525000000003,0.7937811320754716,0.0036072605289518833,0.0001,703
300.0,1342,83,111600,372,0.08479386000000007,0.7915396226415096,0.0023147540632635355,0.0001,715
300.0,1350,83,112800,376,0.014767350000000035,0.7892981132075472,0.0024927302729338408,0.0001,727
300.0,1357,83,114000,380,-0.15543616,0.7870566037735847,0.0022026882506906986,0.0001,739
300.0,1364,84,115200,384,-0.28086094,0.7848150943396227,0.0037716254591941833,0.0001,751
300.0,1371,84,116400,388,-0.29493173999999994,0.7825735849056603,0.0023497638758271933,0.0001,763
300.0,1378,85,117600,392,-0.40498493999999996,0.7803320754716982,0.003811965696513653,0.0001,775
300.0,1385,85,118800,396,-0.33393074,0.7780905660377359,0.0034906300716102123,0.0001,787
300.0,1391,86,120000,400,-0.27127999999999985,0.7758490566037735,0.0031997303012758493,0.0001,799
300.0,1398,86,121200,404,-0.4177024499999999,0.7736075471698114,0.002100021578371525,0.0001,811
300.0,1404,87,122400,408,-0.26948505999999994,0.7713660377358489,0.00282968464307487,0.0001,823
300.0,1411,87,123600,412,-0.25660115,0.7691245283018869,0.00299344165250659,0.0001,835
300.0,1417,88,124800,416,-0.28748385000000004,0.7668830188679245,0.0021647887770086527,0.0001,847
300.0,1423,88,126000,420,-0.42174223,0.7646415094339625,0.0037811393849551678,0.0001,859
300.0,1429,88,127200,424,-0.27417556000000004,0.7624000000000001,0.0017854457255452871,0.0001,871
300.0,1436,89,128400,428,-0.27593555000000003,0.7601584905660377,0.0030503550078719854,0.0001,883
300.0,1442,89,129600,432,-0.17836617999999993,0.7579169811320756,0.003195889526978135,0.0001,895
300.0,1449,90,130800,436,-0.2895269199999999,0.7556754716981131,0.0039980062283575535,0.0001,907
300.0,1454,90,132000,440,-0.16655302999999996,0.7534339622641508,0.0025795812252908945,0.0001,919
300.0,1461,91,133200,444,-0.14583095999999998,0.7511924528301888,0.0019780807197093964,0.0001,931
300.0,1467,91,134400,448,-0.023268180000000055,0.7489509433962263,0.0036848837044090033,0.0001,943
300.0,1473,92,135600,452,-0.012074600000000067,0.7467094339622642,0.0027144658379256725,0.0001,955
300.0,1479,92,136800,456,-0.022235310000000025,0.7444679245283019,0.0013750874204561114,0.0001,967
300.0,1484,92,138000,460,-0.057074710000000015,0.7422264150943398,0.002618446946144104,0.0001,979
300.0,1490,93,139200,464,-0.08607354999999994,0.7399849056603773,0.003950553014874458,0.0001,991
300.0,1496,93,140400,468,0.06498879000000002,0.7377433962264149,0.002694733440876007,0.0001,1003
300.0,1501,94,141600,472,0.08056452,0.735501886792453,0.0026085423305630684,0.0001,1015
300.0,1506,94,142800,476,0.12988114,0.7332603773584905,0.0028559952042996883,0.0001,1027
300.0,1511,95,144000,480,0.27180736,0.7310188679245284,0.002649919595569372,0.0001,1039
300.0,1517,95,145200,484,0.2921165699999999,0.7287773584905661,0.002800111658871174,0.0001,1051
300.0,1522,96,146400,488,0.19014327,0.7265358490566036,0.0025216692592948675,0.0001,1063
300.0,1527,96,147600,492,0.31922723999999997,0.7242943396226416,0.001998256193473935,0.0001,1075
300.0,1532,97,148800,496,0.42626597,0.7220528301886792,0.002662265207618475,0.0001,1087
