time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/exploration_rate,train/loss,train/n_updates,train/learning_rate
1200,4,327,3,-1.8976162499999998,300.0,0.9977584905660376,,,
2400,8,592,4,-0.4076549999999999,300.0,0.9955169811320755,,,
3600,12,816,4,-0.9968279999999999,300.0,0.9932754716981131,,,
4800,16,998,4,-1.1866979999999998,300.0,0.9910339622641511,,,
6000,20,1160,5,-0.6386335999999999,300.0,0.9887924528301887,,,
7200,24,1298,5,-0.528407875,300.0,0.9865509433962263,,,
8400,28,1422,5,-0.46108803571428564,300.0,0.9843094339622642,,,
9600,32,1521,6,-0.66887575,300.0,0.9820679245283018,,,
10800,36,1616,6,-0.5140549444444446,300.0,0.9798264150943398,,,
12000,40,1701,7,-0.43012334999999996,300.0,0.9775849056603774,,,
13200,44,1765,7,-0.4132736136363636,300.0,0.9753433962264149,,,
14400,48,1834,7,-0.7212966041666666,300.0,0.9731018867924529,,,
15600,52,1898,8,-0.6186576923076922,300.0,0.9708603773584905,,,
16800,56,1957,8,-0.6073305357142856,300.0,0.9686188679245284,,,
18000,60,2010,8,-0.4883090666666667,300.0,0.966377358490566,,,
19200,64,2061,9,-0.4832199687499999,300.0,0.9641358490566035,,,
20400,68,2108,9,-0.4356140147058823,300.0,0.9618943396226416,,,
21600,72,2151,10,-0.28541570833333324,300.0,0.9596528301886791,,,
22800,76,2189,10,-0.2902577368421052,300.0,0.9574113207547171,,,
24000,80,2226,10,-0.34793299999999994,300.0,0.9551698113207547,,,
25200,84,2261,11,-0.43257130952380946,300.0,0.9529283018867927,,,
26400,88,2291,11,-0.42615986363636355,300.0,0.9506867924528303,,,
27600,92,2323,11,-0.5040247391304348,300.0,0.9484452830188678,,,
28800,96,2349,12,-0.4742521874999999,300.0,0.9462037735849058,,,
30000,100,2372,12,-0.4148147099999999,300.0,0.9439622641509433,,,
31200,104,2398,13,-0.22700642999999995,300.0,0.9417207547169814,,,
32400,108,2424,13,-0.26824654000000003,300.0,0.9394792452830188,,,
33600,112,2447,13,-0.22358558000000003,300.0,0.9372377358490565,,,
34800,116,2470,14,-0.17900428,300.0,0.9349962264150945,,,
36000,120,2492,14,-0.26163348000000003,300.0,0.932754716981132,,,
37200,124,2505,14,-0.11592711999999995,300.0,0.93051320754717,,,
38400,128,2524,15,-0.13900062999999993,300.0,0.9282716981132075,,,
39600,132,2542,15,-0.06590820999999995,300.0,0.9260301886792451,,,
40800,136,2536,16,-0.047233999999999964,300.0,0.9237886792452831,0.018364716321229935,7,0.0001
42000,140,2541,16,-0.09154864999999997,300.0,0.9215471698113207,0.017308469861745834,19,0.0001
43200,144,2548,16,-0.10362228999999995,300.0,0.9193056603773587,0.01656528189778328,31,0.0001
44400,148,2553,17,-0.004517890000000022,300.0,0.9170641509433962,0.015460225753486156,43,0.0001
45600,152,2544,17,-0.16129634000000004,300.0,0.9148226415094338,0.014876194298267365,55,0.0001
46800,156,2551,18,-0.07959341000000002,300.0,0.9125811320754718,0.014198831282556057,67,0.0001
48000,160,2556,18,-0.07336119999999997,300.0,0.9103396226415094,0.013390455394983292,79,0.0001
49200,164,2564,19,-0.10933711999999993,300.0,0.9080981132075473,0.012381840497255325,91,0.0001
50400,168,2572,19,-0.08702871999999992,300.0,0.9058566037735849,0.01138757448643446,103,0.0001
51600,172,2579,20,-0.18681237999999997,300.0,0.9036150943396225,0.012235108762979507,115,0.0001
52800,176,2586,20,-0.2015653,300.0,0.9013735849056604,0.011407531797885895,127,0.0001
54000,180,2593,20,-0.16257076999999995,300.0,0.899132075471698,0.011163805611431599,139,0.0001
55200,184,2595,21,-0.13103542999999995,300.0,0.896890566037736,0.010469011962413788,151,0.0001
56400,188,2602,21,-0.042875849999999965,300.0,0.8946490566037736,0.009193435311317444,163,0.0001
57600,192,2605,22,0.09578672,300.0,0.8924075471698112,0.009005807340145111,175,0.0001
58800,196,2610,22,-0.011185199999999989,300.0,0.8901660377358491,0.008671349845826626,187,0.0001
60000,200,2615,22,-0.09356752999999998,300.0,0.8879245283018867,0.007848680950701237,199,0.0001
61200,204,2619,23,-0.12869791999999994,300.0,0.8856830188679247,0.006677866913378239,211,0.0001
