time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,time/episodes,train/loss,train/learning_rate,train/n_updates
3,0.2678935000000002,349,300.0,0.9977584905660376,1200,4,,,
3,2.11806375,621,300.0,0.9955169811320755,2400,8,,,
4,0.7171379999999999,834,300.0,0.9932754716981131,3600,12,,,
4,0.20074987500000008,1005,300.0,0.9910339622641511,4800,16,,,
5,1.8394075000000005,1153,300.0,0.9887924528301887,6000,20,,,
5,2.120929458333333,1277,300.0,0.9865509433962263,7200,24,,,
6,2.191525964285714,1383,300.0,0.9843094339622642,8400,28,,,
6,2.0308797812500003,1461,300.0,0.9820679245283018,9600,32,,,
7,2.247645861111111,1542,300.0,0.9798264150943398,10800,36,,,
7,2.402697975,1613,300.0,0.9775849056603774,12000,40,,,
7,2.3702878181818186,1674,300.0,0.9753433962264149,13200,44,,,
8,1.6368692291666667,1729,300.0,0.9731018867924529,14400,48,,,
8,1.2869578653846157,1780,300.0,0.9708603773584905,15600,52,,,
9,0.6269855714285715,1827,300.0,0.9686188679245284,16800,56,,,
9,0.6267033000000001,1870,300.0,0.966377358490566,18000,60,,,
10,0.8947317031250002,1909,300.0,0.9641358490566035,19200,64,,,
10,0.7389961029411767,1943,300.0,0.9618943396226416,20400,68,,,
10,1.043724013888889,1975,300.0,0.9596528301886791,21600,72,,,
11,0.8877302763157895,2005,300.0,0.9574113207547171,22800,76,,,
11,0.5447440625000001,2033,300.0,0.9551698113207547,24000,80,,,
12,0.37889679761904765,2059,300.0,0.9529283018867927,25200,84,,,
12,0.6055855454545455,2081,300.0,0.9506867924528303,26400,88,,,
13,0.3900216739130435,2103,300.0,0.9484452830188678,27600,92,,,
13,0.2503580208333333,2123,300.0,0.9462037735849058,28800,96,,,
13,0.26137480999999996,2142,300.0,0.9439622641509433,30000,100,,,
14,0.2510405399999998,2161,300.0,0.9417207547169814,31200,104,,,
14,0.28617220999999987,2173,300.0,0.9394792452830188,32400,108,,,
15,0.44521384,2187,300.0,0.9372377358490565,33600,112,,,
15,0.3784728400000001,2204,300.0,0.9349962264150945,34800,116,,,
16,0.057871519999999926,2213,300.0,0.932754716981132,36000,120,,,
16,0.0074453599999998584,2222,300.0,0.93051320754717,37200,124,,,
17,0.12407042999999994,2235,300.0,0.9282716981132075,38400,128,,,
17,-0.1987812600000001,2248,300.0,0.9260301886792451,39600,132,,,
18,-0.06583163000000003,2254,300.0,0.9237886792452831,40800,136,0.022999398410320282,0.0001,7
18,-0.21468324000000003,2259,300.0,0.9215471698113207,42000,140,0.02106059342622757,0.0001,19
19,-0.28917920999999996,2264,300.0,0.9193056603773587,43200,144,0.02106294594705105,0.0001,31
19,-0.05473376999999987,2271,300.0,0.9170641509433962,44400,148,0.020413612946867943,0.0001,43
20,-0.12048713999999999,2276,300.0,0.9148226415094338,45600,152,0.019716080278158188,0.0001,55
20,0.08325597999999981,2281,300.0,0.9125811320754718,46800,156,0.020278001204133034,0.0001,67
21,0.11281930999999985,2273,300.0,0.9103396226415094,48000,160,0.016936413943767548,0.0001,79
21,-0.14691642000000008,2276,300.0,0.9080981132075473,49200,164,0.016009649261832237,0.0001,91
22,0.16393136999999983,2281,300.0,0.9058566037735849,50400,168,0.015929318964481354,0.0001,103
22,-0.13545643999999998,2286,300.0,0.9036150943396225,51600,172,0.017082003876566887,0.0001,115
23,-0.20577598000000002,2288,300.0,0.9013735849056604,52800,176,0.015494903549551964,0.0001,127
23,-0.2735116700000001,2292,300.0,0.899132075471698,54000,180,0.016228795051574707,0.0001,139
24,-0.24250555000000001,2296,300.0,0.896890566037736,55200,184,0.01414489559829235,0.0001,151
24,-0.032741920000000035,2299,300.0,0.8946490566037736,56400,188,0.015226859599351883,0.0001,163
25,0.12254232,2300,300.0,0.8924075471698112,57600,192,0.013094183057546616,0.0001,175
25,0.16351148000000004,2302,300.0,0.8901660377358491,58800,196,0.013526346534490585,0.0001,187
26,0.1755309199999999,2304,300.0,0.8879245283018867,60000,200,0.012505623511970043,0.0001,199
26,0.14691512999999987,2306,300.0,0.8856830188679247,61200,204,0.011570469476282597,0.0001,211
27,0.0287872299999999,2310,300.0,0.8834415094339623,62400,208,0.009864747524261475,0.0001,223
27,-0.0026025700000001884,2311,300.0,0.8811999999999998,63600,212,0.009680643677711487,0.0001,235
28,0.07812053999999988,2313,300.0,0.8789584905660378,64800,216,0.007183912675827742,0.0001,247
28,-0.016756709999999977,2316,300.0,0.8767169811320754,66000,220,0.006600989028811455,0.0001,259
28,-0.034703970000000035,2319,300.0,0.8744754716981133,67200,224,0.009176038205623627,0.0001,271
29,0.07260731000000001,2321,300.0,0.872233962264151,68400,228,0.009244032204151154,0.0001,283
29,0.22505759000000006,2324,300.0,0.8699924528301889,69600,232,0.008929376490414143,0.0001,295
30,-0.29156815,2326,300.0,0.8677509433962265,70800,236,0.008986420929431915,0.0001,307
30,-0.46410449,2329,300.0,0.865509433962264,72000,240,0.00776804331690073,0.0001,319
31,-0.8315049199999999,2330,300.0,0.863267924528302,73200,244,0.007715184241533279,0.0001,331
31,-0.8142568999999998,2332,300.0,0.8610264150943396,74400,248,0.01022143755108118,0.0001,343
32,-0.77411861,2334,300.0,0.8587849056603771,75600,252,0.007548559922724962,0.0001,355
32,-0.71615387,2336,300.0,0.8565433962264152,76800,256,0.010783927515149117,0.0001,367
33,-0.7749999200000001,2337,300.0,0.8543018867924528,78000,260,0.0092909075319767,0.0001,379
33,-0.35070710000000005,2339,300.0,0.8520603773584907,79200,264,0.008891037665307522,0.0001,391
34,-0.73418895,2339,300.0,0.8498188679245282,80400,268,0.00830904208123684,0.0001,403
34,-0.7720222800000001,2331,300.0,0.8475773584905663,81600,272,0.0077813537791371346,0.0001,415
35,-0.47787560000000007,2330,300.0,0.8453358490566039,82800,276,0.007809679955244064,0.0001,427
36,0.30387685000000003,2328,300.0,0.8430943396226414,84000,280,0.00968437734991312,0.0001,439
36,0.30908859,2325,300.0,0.8408528301886794,85200,284,0.008876065723598003,0.0001,451
37,0.06835267000000002,2325,300.0,0.8386113207547169,86400,288,0.010957686230540276,0.0001,463
37,0.02609801000000007,2325,300.0,0.8363698113207549,87600,292,0.009481888264417648,0.0001,475
38,-0.16823354999999993,2325,300.0,0.8341283018867924,88800,296,0.00884975679218769,0.0001,487
38,-0.44022127999999994,2325,300.0,0.83188679245283,90000,300,0.008457978256046772,0.0001,499
39,-0.5354165799999998,2327,300.0,0.8296452830188681,91200,304,0.007966609671711922,0.0001,511
39,-0.62485071,2327,300.0,0.8274037735849056,92400,308,0.007615951821208,0.0001,523
40,-0.6764055199999998,2326,300.0,0.8251622641509436,93600,312,0.009085961617529392,0.0001,535
40,-0.20250666999999964,2321,300.0,0.8229207547169811,94800,316,0.007050713058561087,0.0001,547
